Date,open,high,low,close
1/15/2024,671.9,676,665.9,669.2
1/16/2024,664.2,667,661.1,666.3
1/17/2024,656.4,658.7,644,647.4
1/18/2024,670,673.7,655.8,663.4
1/19/2024,668.2,669.1,653.5,659.4
1/22/2024,667,670.3,659,662.9
1/23/2024,670,671.7,664.5,670.4
1/24/2024,669.6,689.4,669.5,683.4
1/25/2024,685,689,677,685.3
1/26/2024,732,779.9,728.8,773.1
1/29/2024,769.5,779.6,767.8,776.3
1/30/2024,778.1,785.8,774.4,782
1/31/2024,780,781.4,770.1,773.6
2/1/2024,768.2,775.4,765.2,770.6
2/2/2024,772.5,783.1,772.5,778.1
2/5/2024,776.7,780.7,774.3,780.7
2/6/2024,780.5,784.6,771.2,779.5
2/7/2024,783.4,789.3,780.4,784.1
2/8/2024,786.2,806,783.2,804.5
2/9/2024,809,811.6,798.4,807.5
2/12/2024,809,821.9,808.8,821.9
2/13/2024,820.1,824.7,798.4,800.8
2/14/2024,791.7,804.3,784,802.6
2/15/2024,813.4,816.6,809.9,815.6
2/16/2024,818,830.3,815.7,815.8
2/19/2024,807.6,823.6,804,821.9
2/20/2024,816.9,824.5,813.6,820.2
2/21/2024,825,828,818.9,821.6
2/22/2024,826.3,840.4,821.5,840.4
2/23/2024,841.2,850.1,840,850.1
2/26/2024,841.9,846.8,839.2,842.2
2/27/2024,842.3,850.4,840.7,850.4
2/28/2024,848.6,850.4,842.2,847.7
2/29/2024,858,858.9,840,842.8
3/1/2024,838,850.2,837.5,846.4
3/4/2024,842.4,843,832.9,839.8
3/5/2024,837,838.1,825.4,829.1
3/6/2024,826.4,838.2,823,832.6
3/7/2024,827.2,843.7,820.8,839.8
3/8/2024,840,850.5,838.3,844.9
3/11/2024,838.8,850.4,838,850.4
3/12/2024,851.4,859,837.5,859
3/13/2024,853.3,869.6,851.6,867.2
3/14/2024,873.1,886.4,872.1,872.8
3/15/2024,867.2,873.8,860.8,862.3
3/18/2024,862.9,865,854.9,858.1
3/19/2024,852,860.2,844.6,860.2
3/20/2024,834,851.6,828.9,846.2
3/21/2024,856.1,857.9,840.7,847.9
3/22/2024,838.9,839.7,822.3,828.6
3/25/2024,825.2,826.8,812.8,825.5
3/26/2024,835,835,817.8,821.8
3/27/2024,821.9,830.3,816.6,830.3
3/28/2024,831.5,843,831.5,833.7
4/2/2024,833.1,843.1,818.6,821.8
4/3/2024,820.1,826.5,816,816
4/4/2024,816,822.1,810.4,819.4
4/5/2024,803.1,807.5,797.7,799.8
4/8/2024,795.7,808.2,793.9,807.3
4/9/2024,803.1,804.3,792,795.2
4/10/2024,803.2,803.9,782.4,793
4/11/2024,788.8,798.2,784.9,790.5
4/12/2024,797.2,801.7,775.3,781.2
4/15/2024,786.2,804.8,782,794.8
4/16/2024,783.4,795,780.1,781.8
4/17/2024,806.3,823.6,794.9,804
4/18/2024,804.1,808.8,792.6,796.8
4/19/2024,790.4,799.1,785,796.6
4/22/2024,802,805.7,792.5,796.8
4/23/2024,795,799.6,793.5,799.6
4/24/2024,794.5,810.8,792.5,800.2
4/25/2024,804.8,805.7,770.2,778
4/26/2024,789,797.7,784,792.2
4/29/2024,794.5,795,775.5,779.2
4/30/2024,779.9,781.6,772,774.4
5/2/2024,780,780.5,765,767
5/3/2024,773,791.5,770.5,782
5/6/2024,784.7,787,776.9,781.7
5/7/2024,787.8,790.8,777.8,789.4
5/8/2024,790,795.7,786,787.9
5/9/2024,785,789,778.1,789
5/10/2024,795.1,796.4,787,788.4
5/13/2024,792.6,793.1,782.1,782.6
5/14/2024,783.6,791.9,780.1,791.9
5/15/2024,790.7,790.7,773.1,789
5/16/2024,785.6,788.6,782.6,786
5/17/2024,782,790.6,779.2,783.2
5/20/2024,783.5,785.8,777.7,779.1
5/21/2024,777.7,778.8,767.7,768.1
